date,series_id,value
2019-02-21,VIXCLS,24.860
2019-02-22,DGS10,4.192
2019-02-22,DGS2,1.387
2019-02-22,CPIAUCSL,249.971
2019-02-22,VIXCLS,24.980
2019-02-25,DGS10,4.179
2019-02-25,DGS2,1.404
2019-02-25,CPIAUCSL,250.423
2019-02-25,VIXCLS,25.330
2019-02-26,DGS10,4.199
2019-02-26,DGS2,1.409
2019-02-26,CPIAUCSL,250.428
2019-02-26,VIXCLS,25.300
2019-02-27,DGS10,4.199
2019-02-27,DGS2,1.383
2019-02-27,CPIAUCSL,250.151
2019-02-27,VIXCLS,25.670
2019-02-28,DGS10,4.211
2019-02-28,DGS2,1.377
2019-02-28,CPIAUCSL,250.242
2019-02-28,VIXCLS,25.580
2019-03-01,DGS10,4.157
2019-03-01,DGS2,1.378
2019-03-01,CPIAUCSL,250.255
2019-03-01,VIXCLS,25.540
2019-03-04,DGS10,4.227
2019-03-04,DGS2,1.389
2019-03-04,CPIAUCSL,250.421
2019-03-04,VIXCLS,25.560
2019-03-05,DGS10,4.207
2019-03-05,DGS2,1.387
2019-03-05,CPIAUCSL,250.161
2019-03-05,VIXCLS,24.860
2019-03-06,DGS10,4.217
2019-03-06,DGS2,1.407
2019-03-06,CPIAUCSL,250.249
2019-03-06,VIXCLS,24.870
2019-03-07,DGS10,4.163
2019-03-07,DGS2,1.398
2019-03-07,CPIAUCSL,250.122
2019-03-07,VIXCLS,24.870
2019-03-08,DGS10,4.211
2019-03-08,DGS2,1.422
2019-03-08,CPIAUCSL,250.392
2019-03-08,VIXCLS,27.020
2019-03-11,DGS10,4.226
2019-03-11,DGS2,1.417
2019-03-11,CPIAUCSL,250.278
2019-03-11,VIXCLS,27.500
2019-03-12,DGS10,4.214
2019-03-12,DGS2,1.416
2019-03-12,CPIAUCSL,250.388
2019-03-12,VIXCLS,27.390
2019-03-13,DGS10,4.242
2019-03-13,DGS2,1.420
2019-03-13,CPIAUCSL,250.537
2019-03-13,VIXCLS,27.910
2019-03-14,DGS10,4.200
2019-03-14,DGS2,1.414
2019-03-14,CPIAUCSL,250.922
2019-03-14,VIXCLS,28.820
2019-03-15,DGS10,4.208
2019-03-15,DGS2,1.401
2019-03-15,CPIAUCSL,250.895
2019-03-15,VIXCLS,29.390
2019-03-18,DGS10,4.208
2019-03-18,DGS2,1.406
2019-03-18,CPIAUCSL,250.828
2019-03-18,VIXCLS,29.610
2019-03-19,DGS10,4.227
2019-03-19,DGS2,1.409
2019-03-19,CPIAUCSL,250.610
2019-03-19,VIXCLS,28.980
2019-03-20,DGS10,4.253
2019-03-20,DGS2,1.427
2019-03-20,CPIAUCSL,250.231
2019-03-20,VIXCLS,28.630
2019-03-21,DGS10,4.201
2019-03-21,DGS2,1.437
2019-03-21,CPIAUCSL,250.333
2019-03-21,VIXCLS,27.920
2019-03-22,DGS10,4.300
2019-03-22,DGS2,1.430
2019-03-22,CPIAUCSL,250.543
2019-03-22,VIXCLS,28.140
2019-03-25,DGS10,4.238
2019-03-25,DGS2,1.436
2019-03-25,CPIAUCSL,250.840
2019-03-25,VIXCLS,27.570
2019-03-26,DGS10,4.299
2019-03-26,DGS2,1.427
2019-03-26,CPIAUCSL,250.998
2019-03-26,VIXCLS,27.640
2019-03-27,DGS10,4.293
2019-03-27,DGS2,1.408
2019-03-27,CPIAUCSL,251.723
2019-03-27,VIXCLS,26.450
2019-03-28,DGS10,4.280
2019-03-28,DGS2,1.405
2019-03-28,CPIAUCSL,252.165
2019-03-28,VIXCLS,26.370
2019-03-29,DGS10,4.208
2019-03-29,DGS2,1.397
2019-03-29,CPIAUCSL,252.397
2019-03-29,VIXCLS,26.120
2019-04-01,DGS10,4.257
2019-04-01,DGS2,1.389
2019-04-01,CPIAUCSL,252.587
2019-04-01,VIXCLS,26.260
2019-04-02,DGS10,4.210
2019-04-02,DGS2,1.399
2019-04-02,CPIAUCSL,252.837
2019-04-02,VIXCLS,26.360
2019-04-03,DGS10,4.100
2019-04-03,DGS2,1.398
2019-04-03,CPIAUCSL,252.600
2019-04-03,VIXCLS,24.980
2019-04-04,DGS10,4.124
2019-04-04,DGS2,1.386
2019-04-04,CPIAUCSL,252.723
2019-04-04,VIXCLS,25.320
2019-04-05,DGS10,4.156
2019-04-05,DGS2,1.380
2019-04-05,CPIAUCSL,252.683
2019-04-05,VIXCLS,23.840
2019-04-08,DGS10,4.113
2019-04-08,DGS2,1.382
2019-04-08,CPIAUCSL,252.693
2019-04-08,VIXCLS,23.920
2019-04-09,DGS10,4.139
2019-04-09,DGS2,1.358
2019-04-09,CPIAUCSL,252.730
2019-04-09,VIXCLS,24.280
2019-04-10,DGS10,4.112
2019-04-10,DGS2,1.362
2019-04-10,CPIAUCSL,252.856
2019-04-10,VIXCLS,24.570
2019-04-11,DGS10,4.093
2019-04-11,DGS2,1.363
2019-04-11,CPIAUCSL,252.703
2019-04-11,VIXCLS,24.350
2019-04-12,DGS10,4.100
2019-04-12,DGS2,1.367
2019-04-12,CPIAUCSL,252.521
2019-04-12,VIXCLS,24.670
2019-04-15,DGS10,4.113
2019-04-15,DGS2,1.381
2019-04-15,CPIAUCSL,252.355
2019-04-15,VIXCLS,23.370
2019-04-16,DGS10,4.136
2019-04-16,DGS2,1.394
2019-04-16,CPIAUCSL,252.655
2019-04-16,VIXCLS,22.560
2019-04-17,DGS10,4.132
2019-04-17,DGS2,1.387
2019-04-17,CPIAUCSL,252.608
2019-04-17,VIXCLS,21.680
2019-04-18,DGS10,4.167
2019-04-18,DGS2,1.399
2019-04-18,CPIAUCSL,252.421
2019-04-18,VIXCLS,22.250
2019-04-19,DGS10,4.119
2019-04-19,DGS2,1.400
2019-04-19,CPIAUCSL,252.737
2019-04-19,VIXCLS,22.460
2019-04-22,DGS10,4.112
2019-04-22,DGS2,1.386
2019-04-22,CPIAUCSL,252.853
2019-04-22,VIXCLS,22.630
2019-04-23,DGS10,4.142
2019-04-23,DGS2,1.384
2019-04-23,CPIAUCSL,252.931
2019-04-23,VIXCLS,22.750
2019-04-24,DGS10,4.074
2019-04-24,DGS2,1.382
2019-04-24,CPIAUCSL,253.011
2019-04-24,VIXCLS,22.660
2019-04-25,DGS10,4.057
2019-04-25,DGS2,1.386
2019-04-25,CPIAUCSL,252.625
2019-04-25,VIXCLS,23.250
2019-04-26,DGS10,4.014
2019-04-26,DGS2,1.376
2019-04-26,CPIAUCSL,252.470
2019-04-26,VIXCLS,23.140
2019-04-29,DGS10,3.985
2019-04-29,DGS2,1.366
2019-04-29,CPIAUCSL,252.209
2019-04-29,VIXCLS,22.280
2019-04-30,DGS10,4.003
2019-04-30,DGS2,1.369
2019-04-30,CPIAUCSL,252.003
2019-04-30,VIXCLS,23.350
2019-05-01,DGS10,3.957
2019-05-01,DGS2,1.360
2019-05-01,CPIAUCSL,252.099
2019-05-01,VIXCLS,22.520
2019-05-02,DGS10,3.973
2019-05-02,DGS2,1.354
2019-05-02,CPIAUCSL,252.797
2019-05-02,VIXCLS,23.020
2019-05-03,DGS10,3.949
2019-05-03,DGS2,1.346
2019-05-03,CPIAUCSL,253.167
2019-05-03,VIXCLS,22.200
2019-05-06,DGS10,3.983
2019-05-06,DGS2,1.349
2019-05-06,CPIAUCSL,253.590
2019-05-06,VIXCLS,21.910
2019-05-07,DGS10,4.006
2019-05-07,DGS2,1.350
2019-05-07,CPIAUCSL,253.335
2019-05-07,VIXCLS,22.680
2019-05-08,DGS10,4.021
2019-05-08,DGS2,1.344
2019-05-08,CPIAUCSL,253.650
2019-05-08,VIXCLS,22.000
2019-05-09,DGS10,3.950
2019-05-09,DGS2,1.313
2019-05-09,CPIAUCSL,253.700
2019-05-09,VIXCLS,22.310
2019-05-10,DGS10,4.038
2019-05-10,DGS2,1.319
2019-05-10,CPIAUCSL,253.484
2019-05-10,VIXCLS,22.200
2019-05-13,DGS10,4.032
2019-05-13,DGS2,1.308
2019-05-13,CPIAUCSL,253.364
2019-05-13,VIXCLS,21.980
2019-05-14,DGS10,4.103
2019-05-14,DGS2,1.309
2019-05-14,CPIAUCSL,253.595
2019-05-14,VIXCLS,21.700
2019-05-15,DGS10,4.075
2019-05-15,DGS2,1.302
2019-05-15,CPIAUCSL,254.446
2019-05-15,VIXCLS,22.700
2019-05-16,DGS10,4.062
2019-05-16,DGS2,1.282
2019-05-16,CPIAUCSL,254.487
2019-05-16,VIXCLS,22.370
2019-05-17,DGS10,4.067
2019-05-17,DGS2,1.287
2019-05-17,CPIAUCSL,254.503
2019-05-17,VIXCLS,22.350
2019-05-20,DGS10,4.044
2019-05-20,DGS2,1.280
2019-05-20,CPIAUCSL,254.822
2019-05-20,VIXCLS,22.580
2019-05-21,DGS10,4.065
2019-05-21,DGS2,1.278
2019-05-21,CPIAUCSL,254.698
2019-05-21,VIXCLS,22.560
2019-05-22,DGS10,4.056
2019-05-22,DGS2,1.278
2019-05-22,CPIAUCSL,254.994
2019-05-22,VIXCLS,22.090
2019-05-23,DGS10,4.069
2019-05-23,DGS2,1.301
2019-05-23,CPIAUCSL,255.332
2019-05-23,VIXCLS,23.270
2019-05-24,DGS10,4.000
2019-05-24,DGS2,1.295
2019-05-24,CPIAUCSL,255.769
2019-05-24,VIXCLS,22.300
2019-05-27,DGS10,3.955
2019-05-27,DGS2,1.291
2019-05-27,CPIAUCSL,255.851
2019-05-27,VIXCLS,22.510
2019-05-28,DGS10,3.953
2019-05-28,DGS2,1.283
2019-05-28,CPIAUCSL,255.804
2019-05-28,VIXCLS,23.080
2019-05-29,DGS10,3.931
2019-05-29,DGS2,1.278
2019-05-29,CPIAUCSL,255.482
2019-05-29,VIXCLS,21.650
2019-05-30,DGS10,3.879
2019-05-30,DGS2,1.280
2019-05-30,CPIAUCSL,256.024
2019-05-30,VIXCLS,21.240
2019-05-31,DGS10,3.917
2019-05-31,DGS2,1.276
2019-05-31,CPIAUCSL,255.460
2019-05-31,VIXCLS,21.030
2019-06-03,DGS10,4.025
2019-06-03,DGS2,1.277
2019-06-03,CPIAUCSL,255.591
2019-06-03,VIXCLS,20.850
2019-06-04,DGS10,3.916
2019-06-04,DGS2,1.276
2019-06-04,CPIAUCSL,255.722
2019-06-04,VIXCLS,21.300
2019-06-05,DGS10,3.949
2019-06-05,DGS2,1.273
2019-06-05,CPIAUCSL,255.735
2019-06-05,VIXCLS,20.070
2019-06-06,DGS10,3.830
2019-06-06,DGS2,1.270
2019-06-06,CPIAUCSL,256.101
2019-06-06,VIXCLS,19.100
2019-06-07,DGS10,3.844
2019-06-07,DGS2,1.295
2019-06-07,CPIAUCSL,256.750
2019-06-07,VIXCLS,19.860
2019-06-10,DGS10,3.829
2019-06-10,DGS2,1.286
2019-06-10,CPIAUCSL,256.830
2019-06-10,VIXCLS,19.840
2019-06-11,DGS10,3.875
2019-06-11,DGS2,1.285
2019-06-11,CPIAUCSL,257.115
2019-06-11,VIXCLS,19.880
2019-06-12,DGS10,3.897
2019-06-12,DGS2,1.274
2019-06-12,CPIAUCSL,257.404
2019-06-12,VIXCLS,19.380
2019-06-13,DGS10,3.958
2019-06-13,DGS2,1.280
2019-06-13,CPIAUCSL,257.442
2019-06-13,VIXCLS,19.050
2019-06-14,DGS10,3.882
2019-06-14,DGS2,1.286
2019-06-14,CPIAUCSL,257.553
2019-06-14,VIXCLS,18.760
2019-06-17,DGS10,3.940
2019-06-17,DGS2,1.284
2019-06-17,CPIAUCSL,257.674
2019-06-17,VIXCLS,19.040
2019-06-18,DGS10,4.013
2019-06-18,DGS2,1.273
2019-06-18,CPIAUCSL,257.566
2019-06-18,VIXCLS,19.700
2019-06-19,DGS10,3.949
2019-06-19,DGS2,1.280
2019-06-19,CPIAUCSL,257.819
2019-06-19,VIXCLS,19.640
2019-06-20,DGS10,3.982
2019-06-20,DGS2,1.292
2019-06-20,CPIAUCSL,258.096
2019-06-20,VIXCLS,19.990
2019-06-21,DGS10,3.975
2019-06-21,DGS2,1.275
2019-06-21,CPIAUCSL,258.115
2019-06-21,VIXCLS,20.150
2019-06-24,DGS10,3.989
2019-06-24,DGS2,1.266
2019-06-24,CPIAUCSL,258.502
2019-06-24,VIXCLS,20.890
2019-06-25,DGS10,4.007
2019-06-25,DGS2,1.264
2019-06-25,CPIAUCSL,258.198
2019-06-25,VIXCLS,20.320
2019-06-26,DGS10,4.019
2019-06-26,DGS2,1.263
2019-06-26,CPIAUCSL,257.928
2019-06-26,VIXCLS,20.400
2019-06-27,DGS10,4.081
2019-06-27,DGS2,1.263
2019-06-27,CPIAUCSL,258.402
2019-06-27,VIXCLS,20.110
2019-06-28,DGS10,4.048
2019-06-28,DGS2,1.269
2019-06-28,CPIAUCSL,258.165
2019-06-28,VIXCLS,20.360
2019-07-01,DGS10,4.048
2019-07-01,DGS2,1.265
2019-07-01,CPIAUCSL,258.506
2019-07-01,VIXCLS,21.440
2019-07-02,DGS10,4.013
2019-07-02,DGS2,1.264
2019-07-02,CPIAUCSL,258.301
2019-07-02,VIXCLS,21.240
2019-07-03,DGS10,3.964
2019-07-03,DGS2,1.270
2019-07-03,CPIAUCSL,258.516
2019-07-03,VIXCLS,20.940
2019-07-04,DGS10,3.911
2019-07-04,DGS2,1.267
2019-07-04,CPIAUCSL,258.646
2019-07-04,VIXCLS,21.500
2019-07-05,DGS10,3.925
2019-07-05,DGS2,1.282
2019-07-05,CPIAUCSL,258.646
2019-07-05,VIXCLS,22.230
2019-07-08,DGS10,3.961
2019-07-08,DGS2,1.283
2019-07-08,CPIAUCSL,258.706
2019-07-08,VIXCLS,21.980
2019-07-09,DGS10,3.911
2019-07-09,DGS2,1.294
2019-07-09,CPIAUCSL,258.699
2019-07-09,VIXCLS,22.990
2019-07-10,DGS10,3.951
2019-07-10,DGS2,1.298
2019-07-10,CPIAUCSL,258.316
2019-07-10,VIXCLS,24.500
2019-07-11,DGS10,3.932
2019-07-11,DGS2,1.307
2019-07-11,CPIAUCSL,258.537
2019-07-11,VIXCLS,24.160
2019-07-12,DGS10,3.946
2019-07-12,DGS2,1.309
2019-07-12,CPIAUCSL,258.346
2019-07-12,VIXCLS,23.390
2019-07-15,DGS10,3.979
2019-07-15,DGS2,1.312
2019-07-15,CPIAUCSL,258.754
2019-07-15,VIXCLS,23.600
2019-07-16,DGS10,3.986
2019-07-16,DGS2,1.318
2019-07-16,CPIAUCSL,259.047
2019-07-16,VIXCLS,23.550
2019-07-17,DGS10,4.024
2019-07-17,DGS2,1.315
2019-07-17,CPIAUCSL,258.858
2019-07-17,VIXCLS,24.970
2019-07-18,DGS10,4.014
2019-07-18,DGS2,1.333
2019-07-18,CPIAUCSL,259.198
2019-07-18,VIXCLS,24.670
2019-07-19,DGS10,4.061
2019-07-19,DGS2,1.328
2019-07-19,CPIAUCSL,259.228
2019-07-19,VIXCLS,25.060
2019-07-22,DGS10,4.019
2019-07-22,DGS2,1.343
2019-07-22,CPIAUCSL,258.714
2019-07-22,VIXCLS,25.460
2019-07-23,DGS10,4.059
2019-07-23,DGS2,1.341
2019-07-23,CPIAUCSL,258.954
2019-07-23,VIXCLS,24.680
2019-07-24,DGS10,4.022
2019-07-24,DGS2,1.353
2019-07-24,CPIAUCSL,258.896
2019-07-24,VIXCLS,24.850
2019-07-25,DGS10,4.002
2019-07-25,DGS2,1.361
2019-07-25,CPIAUCSL,258.787
2019-07-25,VIXCLS,23.600
2019-07-26,DGS10,4.059
2019-07-26,DGS2,1.377
2019-07-26,CPIAUCSL,258.939
2019-07-26,VIXCLS,22.880
2019-07-29,DGS10,3.990
2019-07-29,DGS2,1.412
2019-07-29,CPIAUCSL,259.235
2019-07-29,VIXCLS,23.730
2019-07-30,DGS10,3.956
2019-07-30,DGS2,1.443
2019-07-30,CPIAUCSL,259.259
2019-07-30,VIXCLS,23.080
2019-07-31,DGS10,3.972
2019-07-31,DGS2,1.442
2019-07-31,CPIAUCSL,259.354
2019-07-31,VIXCLS,23.250
2019-08-01,DGS10,3.976
2019-08-01,DGS2,1.446
2019-08-01,CPIAUCSL,258.912
2019-08-01,VIXCLS,23.750
2019-08-02,DGS10,3.959
2019-08-02,DGS2,1.440
2019-08-02,CPIAUCSL,258.923
2019-08-02,VIXCLS,24.570
2019-08-05,DGS10,3.941
2019-08-05,DGS2,1.445
2019-08-05,CPIAUCSL,258.844
2019-08-05,VIXCLS,25.590
2019-08-06,DGS10,3.975
2019-08-06,DGS2,1.434
2019-08-06,CPIAUCSL,258.845
2019-08-06,VIXCLS,25.250
2019-08-07,DGS10,3.921
2019-08-07,DGS2,1.441
2019-08-07,CPIAUCSL,259.131
2019-08-07,VIXCLS,24.650
2019-08-08,DGS10,3.881
2019-08-08,DGS2,1.427
2019-08-08,CPIAUCSL,259.325
2019-08-08,VIXCLS,24.590
2019-08-09,DGS10,3.939
2019-08-09,DGS2,1.447
2019-08-09,CPIAUCSL,259.654
2019-08-09,VIXCLS,25.120
2019-08-12,DGS10,3.907
2019-08-12,DGS2,1.445
2019-08-12,CPIAUCSL,259.440
2019-08-12,VIXCLS,25.170
2019-08-13,DGS10,3.908
2019-08-13,DGS2,1.433
2019-08-13,CPIAUCSL,259.203
2019-08-13,VIXCLS,24.980
2019-08-14,DGS10,3.951
2019-08-14,DGS2,1.430
2019-08-14,CPIAUCSL,259.431
2019-08-14,VIXCLS,24.760
2019-08-15,DGS10,3.957
2019-08-15,DGS2,1.433
2019-08-15,CPIAUCSL,259.288
2019-08-15,VIXCLS,24.150
2019-08-16,DGS10,3.943
2019-08-16,DGS2,1.422
2019-08-16,CPIAUCSL,259.641
2019-08-16,VIXCLS,25.500
2019-08-19,DGS10,3.948
2019-08-19,DGS2,1.442
2019-08-19,CPIAUCSL,259.357
2019-08-19,VIXCLS,23.910
2019-08-20,DGS10,3.957
2019-08-20,DGS2,1.448
2019-08-20,CPIAUCSL,259.483
2019-08-20,VIXCLS,24.310
2019-08-21,DGS10,3.925
2019-08-21,DGS2,1.443
2019-08-21,CPIAUCSL,259.587
2019-08-21,VIXCLS,24.140
2019-08-22,DGS10,3.920
2019-08-22,DGS2,1.430
2019-08-22,CPIAUCSL,258.940
2019-08-22,VIXCLS,23.800
2019-08-23,DGS10,3.941
2019-08-23,DGS2,1.434
2019-08-23,CPIAUCSL,258.998
2019-08-23,VIXCLS,24.320
2019-08-26,DGS10,3.912
2019-08-26,DGS2,1.440
2019-08-26,CPIAUCSL,259.347
2019-08-26,VIXCLS,23.390
2019-08-27,DGS10,3.865
2019-08-27,DGS2,1.450
2019-08-27,CPIAUCSL,259.430
2019-08-27,VIXCLS,22.750
2019-08-28,DGS10,3.889
2019-08-28,DGS2,1.449
2019-08-28,CPIAUCSL,259.551
2019-08-28,VIXCLS,21.940
2019-08-29,DGS10,3.873
2019-08-29,DGS2,1.440
2019-08-29,CPIAUCSL,259.670
2019-08-29,VIXCLS,21.020
2019-08-30,DGS10,3.842
2019-08-30,DGS2,1.451
2019-08-30,CPIAUCSL,259.685
2019-08-30,VIXCLS,20.130
2019-09-02,DGS10,3.874
2019-09-02,DGS2,1.450
2019-09-02,CPIAUCSL,259.775
2019-09-02,VIXCLS,20.640
2019-09-03,DGS10,3.849
2019-09-03,DGS2,1.440
2019-09-03,CPIAUCSL,259.590
2019-09-03,VIXCLS,20.580
2019-09-04,DGS10,3.921
2019-09-04,DGS2,1.441
2019-09-04,CPIAUCSL,259.808
2019-09-04,VIXCLS,20.300
2019-09-05,DGS10,3.881
2019-09-05,DGS2,1.439
2019-09-05,CPIAUCSL,259.874
2019-09-05,VIXCLS,20.800
2019-09-06,DGS10,3.899
2019-09-06,DGS2,1.434
2019-09-06,CPIAUCSL,259.763
2019-09-06,VIXCLS,21.010
2019-09-09,DGS10,3.883
2019-09-09,DGS2,1.443
2019-09-09,CPIAUCSL,259.607
2019-09-09,VIXCLS,20.700
2019-09-10,DGS10,3.913
2019-09-10,DGS2,1.414
2019-09-10,CPIAUCSL,259.606
2019-09-10,VIXCLS,20.620
2019-09-11,DGS10,3.879
2019-09-11,DGS2,1.423
2019-09-11,CPIAUCSL,259.647
2019-09-11,VIXCLS,20.460
2019-09-12,DGS10,3.831
2019-09-12,DGS2,1.418
2019-09-12,CPIAUCSL,259.361
2019-09-12,VIXCLS,20.470
2019-09-13,DGS10,3.768
2019-09-13,DGS2,1.412
2019-09-13,CPIAUCSL,259.245
2019-09-13,VIXCLS,21.470
2019-09-16,DGS10,3.809
2019-09-16,DGS2,1.408
2019-09-16,CPIAUCSL,259.985
2019-09-16,VIXCLS,21.570
2019-09-17,DGS10,3.780
2019-09-17,DGS2,1.412
2019-09-17,CPIAUCSL,260.179
2019-09-17,VIXCLS,21.350
2019-09-18,DGS10,3.777
2019-09-18,DGS2,1.398
2019-09-18,CPIAUCSL,260.082
2019-09-18,VIXCLS,21.460
2019-09-19,DGS10,3.815
2019-09-19,DGS2,1.397
2019-09-19,CPIAUCSL,259.949
2019-09-19,VIXCLS,21.140
2019-09-20,DGS10,3.752
2019-09-20,DGS2,1.408
2019-09-20,CPIAUCSL,259.739
2019-09-20,VIXCLS,21.160
2019-09-23,DGS10,3.765
2019-09-23,DGS2,1.417
2019-09-23,CPIAUCSL,259.693
2019-09-23,VIXCLS,22.310
2019-09-24,DGS10,3.804
2019-09-24,DGS2,1.405
2019-09-24,CPIAUCSL,259.759
2019-09-24,VIXCLS,21.950
2019-09-25,DGS10,3.842
2019-09-25,DGS2,1.396
2019-09-25,CPIAUCSL,259.933
2019-09-25,VIXCLS,21.010
2019-09-26,DGS10,3.842
2019-09-26,DGS2,1.380
2019-09-26,CPIAUCSL,260.392
2019-09-26,VIXCLS,21.910
2019-09-27,DGS10,3.798
2019-09-27,DGS2,1.364
2019-09-27,CPIAUCSL,260.615
2019-09-27,VIXCLS,20.920
2019-09-30,DGS10,3.805
2019-09-30,DGS2,1.373
2019-09-30,CPIAUCSL,260.110
2019-09-30,VIXCLS,21.940
2019-10-01,DGS10,3.852
2019-10-01,DGS2,1.384
2019-10-01,CPIAUCSL,259.739
2019-10-01,VIXCLS,22.110
2019-10-02,DGS10,3.861
2019-10-02,DGS2,1.370
2019-10-02,CPIAUCSL,259.281
2019-10-02,VIXCLS,20.850
2019-10-03,DGS10,3.850
2019-10-03,DGS2,1.391
2019-10-03,CPIAUCSL,259.166
2019-10-03,VIXCLS,21.360
2019-10-04,DGS10,3.912
2019-10-04,DGS2,1.406
2019-10-04,CPIAUCSL,259.259
2019-10-04,VIXCLS,20.870
2019-10-07,DGS10,3.883
2019-10-07,DGS2,1.413
2019-10-07,CPIAUCSL,259.319
