日期,中国国债收益率2年,中国国债收益率5年,中国国债收益率10年,中国国债收益率30年,美国国债收益率10年
2019-08-12,2.166,2.275,2.704,3.087,391.261
2019-08-13,2.172,2.262,2.717,3.08,390.626
2019-08-14,2.219,2.272,2.751,3.117,394.323
2019-08-15,2.21,2.253,2.766,3.102,394.875
2019-08-16,2.221,2.248,2.753,3.156,395.703
2019-08-19,2.22,2.244,2.751,3.178,395.328
2019-08-20,2.235,2.264,2.781,3.153,393.85
2019-08-21,2.222,2.264,2.749,3.129,393.28
2019-08-22,2.248,2.283,2.74,3.138,392.503
2019-08-23,2.247,2.309,2.731,3.144,393.486
2019-08-26,2.243,2.315,2.718,3.139,390.417
2019-08-27,2.235,2.307,2.725,3.142,387.156
2019-08-28,2.243,2.331,2.749,3.17,387.839
2019-08-29,2.227,2.348,2.737,3.168,387.345
2019-08-30,2.244,2.318,2.742,3.218,386.854
2019-09-02,2.233,2.32,2.702,3.205,386.167
2019-09-03,2.23,2.33,2.71,3.198,386.714
2019-09-04,2.254,2.318,2.728,3.21,386.008
2019-09-05,2.281,2.315,2.737,3.189,387.539
2019-09-06,2.285,2.303,2.75,3.122,390.51
2019-09-09,2.276,2.295,2.727,3.083,386.676
2019-09-10,2.277,2.278,2.755,3.087,388.439
2019-09-11,2.292,2.28,2.772,3.049,384.94
2019-09-12,2.296,2.26,2.824,3.054,382.544
2019-09-13,2.306,2.248,2.829,3.061,374.641
2019-09-16,2.329,2.244,2.844,3.107,379.526
2019-09-17,2.296,2.25,2.836,3.091,377.836
2019-09-18,2.298,2.252,2.792,3.06,380.773
2019-09-19,2.3,2.273,2.796,3.114,381.497
2019-09-20,2.291,2.262,2.785,3.096,380.321
2019-09-23,2.301,2.284,2.788,3.081,378.282
2019-09-24,2.286,2.24,2.799,3.044,377.733
2019-09-25,2.279,2.264,2.813,3.029,383.866
2019-09-26,2.273,2.266,2.822,2.98,384.272
2019-09-27,2.308,2.25,2.838,2.964,381.56
2019-09-30,2.288,2.246,2.84,2.981,382.186
2019-10-01,2.286,2.24,2.845,2.972,386.616
2019-10-02,2.304,2.234,2.835,3.017,388.908
2019-10-03,2.316,2.265,2.817,3.031,389.607
2019-10-04,2.293,2.27,2.852,3.059,389.15
2019-10-07,2.295,2.254,2.864,3.073,385.029
2019-10-08,2.261,2.26,2.84,3.042,383.588
2019-10-09,2.276,2.279,2.848,3.038,383.001
2019-10-10,2.287,2.272,2.836,3.053,384.667
2019-10-11,2.277,2.278,2.819,3.091,384.047
2019-10-14,2.258,2.28,2.821,3.079,385.154
2019-10-15,2.259,2.296,2.845,3.092,387.642
2019-10-16,2.246,2.302,2.885,3.111,388.054
2019-10-17,2.228,2.286,2.892,3.1,390.773
2019-10-18,2.229,2.315,2.935,3.093,390.058
2019-10-21,2.248,2.327,2.913,3.166,390.347
2019-10-22,2.24,2.336,2.872,3.111,390.631
2019-10-23,2.223,2.343,2.867,3.1,388.168
2019-10-24,2.208,2.35,2.839,3.099,388.286
2019-10-25,2.23,2.362,2.811,3.045,391.997
2019-10-28,2.212,2.355,2.828,3.045,391.113
2019-10-29,2.193,2.328,2.843,3.056,391.305
2019-10-30,2.204,2.331,2.87,3.06,388.144
2019-10-31,2.207,2.31,2.827,3.153,381.771
2019-11-01,2.227,2.338,2.849,3.138,379.892
2019-11-04,2.232,2.316,2.843,3.164,379.407
2019-11-05,2.219,2.336,2.865,3.14,382.313
2019-11-06,2.24,2.343,2.896,3.142,382.727
2019-11-07,2.216,2.35,2.875,3.128,384.872
2019-11-08,2.227,2.337,2.844,3.117,383.98
2019-11-11,2.221,2.336,2.844,3.137,384.81
2019-11-12,2.241,2.308,2.84,3.132,386.297
2019-11-13,2.237,2.299,2.875,3.137,385.077
2019-11-14,2.245,2.299,2.873,3.117,385.813
2019-11-15,2.24,2.296,2.866,3.085,385.248
2019-11-18,2.244,2.275,2.883,3.079,387.566
2019-11-19,2.252,2.3,2.894,3.093,386.182
2019-11-20,2.245,2.276,2.896,3.108,384.939
2019-11-21,2.241,2.278,2.903,3.116,382.41
2019-11-22,2.267,2.288,2.933,3.124,378.976
2019-11-25,2.266,2.288,2.963,3.136,375.324
2019-11-26,2.31,2.255,2.963,3.123,381.12
2019-11-27,2.31,2.212,2.93,3.163,382.381
2019-11-28,2.282,2.191,2.906,3.202,382.286
2019-11-29,2.249,2.199,2.883,3.198,382.755
2019-12-02,2.274,2.175,2.892,3.18,379.118
2019-12-03,2.266,2.196,2.861,3.2,379.572
2019-12-04,2.246,2.135,2.837,3.178,378.541
2019-12-05,2.277,2.124,2.887,3.202,378.507
2019-12-06,2.272,2.154,2.902,3.184,382.82
2019-12-09,2.263,2.134,2.909,3.168,380.239
2019-12-10,2.277,2.135,2.924,3.165,374.341
2019-12-11,2.276,2.135,2.924,3.197,375.345
2019-12-12,2.282,2.129,2.936,3.166,374.978
2019-12-13,2.284,2.095,2.946,3.188,377.176
2019-12-16,2.27,2.105,2.953,3.198,374.312
2019-12-17,2.251,2.096,2.964,3.193,371.377
2019-12-18,2.265,2.091,2.959,3.145,373.252
2019-12-19,2.272,2.101,2.944,3.112,372.528
2019-12-20,2.268,2.105,2.956,3.118,373.881
2019-12-23,2.217,2.113,2.963,3.118,374.928
2019-12-24,2.204,2.107,2.971,3.149,377.504
2019-12-25,2.202,2.087,2.959,3.178,375.513
2019-12-26,2.223,2.096,2.944,3.192,378.074
2019-12-27,2.231,2.077,2.959,3.179,378.804
2019-12-30,2.263,2.062,2.971,3.167,375.348
2019-12-31,2.225,2.066,2.975,3.213,376.94
2020-01-01,2.211,2.081,3.002,3.201,383.276
2020-01-02,2.214,2.115,3.005,3.165,382.811
2020-01-03,2.189,2.083,3.012,3.164,383.197
2020-01-06,2.189,2.104,2.992,3.157,385.311
2020-01-07,2.196,2.102,3.019,3.158,385.462
2020-01-08,2.204,2.098,3.007,3.152,386.815
2020-01-09,2.22,2.092,2.999,3.168,386.248
2020-01-10,2.189,2.09,3.012,3.159,389.538
2020-01-13,2.167,2.098,3.023,3.177,387.959
2020-01-14,2.163,2.112,2.999,3.19,388.742
2020-01-15,2.166,2.121,3.005,3.22,386.982
2020-01-16,2.147,2.12,3.014,3.211,387.086
2020-01-17,2.135,2.132,3.034,3.249,386.935
2020-01-20,2.127,2.128,2.993,3.243,389.84
2020-01-21,2.139,2.186,2.964,3.182,396.271
2020-01-22,2.145,2.206,2.944,3.202,392.724
2020-01-23,2.161,2.22,2.952,3.159,396.131
2020-01-24,2.167,2.24,2.933,3.162,397.571
2020-01-27,2.214,2.229,2.947,3.153,398.278
2020-01-28,2.208,2.238,2.957,3.151,396.905
2020-01-29,2.209,2.247,2.933,3.163,394.062
2020-01-30,2.211,2.263,2.904,3.162,395.025
2020-01-31,2.237,2.259,2.863,3.153,397.602
2020-02-03,2.281,2.244,2.868,3.164,396.953
2020-02-04,2.286,2.249,2.891,3.197,398.878
2020-02-05,2.292,2.246,2.875,3.23,400.936
2020-02-06,2.316,2.235,2.876,3.276,403.277
2020-02-07,2.307,2.257,2.866,3.263,404.316
2020-02-10,2.3,2.283,2.903,3.227,399.146
2020-02-11,2.248,2.287,2.889,3.198,398.436
2020-02-12,2.255,2.285,2.877,3.202,401.116
2020-02-13,2.242,2.287,2.916,3.164,405.856
2020-02-14,2.258,2.301,2.96,3.132,404.252
2020-02-17,2.258,2.293,2.955,3.15,404.371
2020-02-18,2.237,2.296,2.944,3.194,402.683
2020-02-19,2.234,2.263,2.945,3.187,397.769
2020-02-20,2.231,2.253,2.927,3.191,396.767
2020-02-21,2.227,2.235,2.933,3.222,398.593
2020-02-24,2.224,2.232,2.935,3.259,397.443
2020-02-25,2.228,2.231,2.944,3.245,398.103
2020-02-26,2.23,2.203,2.921,3.245,395.153
2020-02-27,2.228,2.184,2.914,3.213,395.679
2020-02-28,2.235,2.197,2.944,3.254,392.763
2020-03-02,2.235,2.213,2.964,3.217,393.167
2020-03-03,2.237,2.202,2.988,3.202,395.141
2020-03-04,2.238,2.214,2.991,3.194,395.316
2020-03-05,2.228,2.212,3.026,3.178,394.227
2020-03-06,2.214,2.213,3.033,3.174,393.467
2020-03-09,2.212,2.214,3.044,3.2,391.529
2020-03-10,2.203,2.24,3.078,3.144,391.497
2020-03-11,2.223,2.242,3.079,3.17,391.916
2020-03-12,2.23,2.246,3.06,3.188,394.304
2020-03-13,2.205,2.248,3.063,3.178,395.109
2020-03-16,2.216,2.248,3.072,3.137,392.73
2020-03-17,2.212,2.264,3.07,3.139,390.511
2020-03-18,2.22,2.243,3.035,3.133,390.02
2020-03-19,2.21,2.284,3.042,3.132,389.7
2020-03-20,2.213,2.273,3.032,3.097,387.658
2020-03-23,2.218,2.285,3.005,3.138,388.567
2020-03-24,2.196,2.307,3.006,3.101,391.009
2020-03-25,2.208,2.317,2.926,3.112,390.885
2020-03-26,2.197,2.272,2.923,3.078,395.411
2020-03-27,2.18,2.267,2.931,3.071,395.087
2020-03-30,2.175,2.265,2.962,3.058,396.988
2020-03-31,2.179,2.277,2.972,3.073,394.01
2020-04-01,2.152,2.288,2.982,3.077,387.537
2020-04-02,2.18,2.304,2.953,3.103,387.807
2020-04-03,2.195,2.308,3.019,3.114,386.13
2020-04-06,2.183,2.329,3.025,3.122,386.687
2020-04-07,2.184,2.332,3.042,3.135,388.979
2020-04-08,2.211,2.35,3.079,3.148,392.125
2020-04-09,2.203,2.367,3.054,3.165,390.917
2020-04-10,2.199,2.37,3.055,3.17,394.37
2020-04-13,2.226,2.394,3.049,3.142,391.966
2020-04-14,2.244,2.409,3.073,3.169,394.862
2020-04-15,2.224,2.412,3.084,3.162,395.594
2020-04-16,2.235,2.402,3.121,3.177,393.763
2020-04-17,2.251,2.406,3.162,3.167,389.878
2020-04-20,2.255,2.418,3.143,3.182,393.11
2020-04-21,2.269,2.395,3.162,3.164,392.844
2020-04-22,2.255,2.379,3.215,3.19,394.883
2020-04-23,2.292,2.383,3.221,3.158,397.511
2020-04-24,2.285,2.371,3.207,3.177,401.86
2020-04-27,2.266,2.391,3.206,3.157,399.552
2020-04-28,2.267,2.417,3.207,3.136,400.259
2020-04-29,2.236,2.418,3.229,3.187,400.158
2020-04-30,2.22,2.413,3.202,3.183,398.641
2020-05-01,2.197,2.384,3.214,3.208,401.224
2020-05-04,2.21,2.36,3.229,3.215,404.211
2020-05-05,2.24,2.377,3.255,3.203,402.016
2020-05-06,2.249,2.386,3.236,3.211,400.439
2020-05-07,2.265,2.421,3.23,3.221,402.219
2020-05-08,2.251,2.425,3.221,3.232,398.872
2020-05-11,2.262,2.446,3.25,3.223,399.546
2020-05-12,2.26,2.468,3.247,3.243,398.749
2020-05-13,2.305,2.47,3.238,3.21,395.715
2020-05-14,2.329,2.497,3.332,3.224,397.268
2020-05-15,2.319,2.452,3.365,3.244,400.45
2020-05-18,2.318,2.406,3.374,3.252,403.473
2020-05-19,2.282,2.435,3.366,3.23,405.2
2020-05-20,2.299,2.415,3.354,3.253,405.044
2020-05-21,2.335,2.447,3.361,3.225,400.576
2020-05-22,2.341,2.479,3.386,3.205,398.276
2020-05-25,2.357,2.472,3.381,3.218,397.113
2020-05-26,2.346,2.443,3.378,3.227,392.472
2020-05-27,2.357,2.448,3.396,3.247,394.504
2020-05-28,2.35,2.477,3.378,3.279,395.202
2020-05-29,2.368,2.474,3.358,3.287,392.324
2020-06-01,2.349,2.513,3.382,3.264,390.492
2020-06-02,2.342,2.514,3.396,3.314,391.924
2020-06-03,2.329,2.518,3.372,3.298,392.66
2020-06-04,2.343,2.501,3.364,3.328,390.206
2020-06-05,2.297,2.48,3.364,3.328,390.126
2020-06-08,2.334,2.471,3.372,3.354,395.443
2020-06-09,2.375,2.471,3.367,3.344,394.339
2020-06-10,2.369,2.484,3.429,3.389,396.324
2020-06-11,2.337,2.451,3.435,3.401,393.618
2020-06-12,2.376,2.487,3.427,3.374,394.606
2020-06-15,2.383,2.479,3.413,3.368,395.761
2020-06-16,2.378,2.475,3.436,3.361,398.478
2020-06-17,2.375,2.489,3.418,3.385,399.115
2020-06-18,2.375,2.459,3.414,3.423,395.36
2020-06-19,2.403,2.454,3.411,3.402,391.059
2020-06-22,2.402,2.458,3.426,3.409,392.483
2020-06-23,2.404,2.437,3.427,3.4,389.681
2020-06-24,2.414,2.478,3.391,3.404,390.503
2020-06-25,2.421,2.466,3.361,3.394,392.268
2020-06-26,2.4,2.455,3.369,3.376,390.55
2020-06-29,2.406,2.459,3.336,3.414,384.136
2020-06-30,2.383,2.465,3.295,3.42,383.928
2020-07-01,2.399,2.455,3.307,3.388,383.822
2020-07-02,2.386,2.468,3.329,3.387,387.566
2020-07-03,2.385,2.47,3.328,3.338,392.227
2020-07-06,2.394,2.47,3.319,3.309,394.014
2020-07-07,2.356,2.482,3.319,3.354,392.23
2020-07-08,2.337,2.5,3.346,3.334,390.846
2020-07-09,2.329,2.479,3.319,3.36,392.549
2020-07-10,2.328,2.496,3.337,3.362,392.48
2020-07-13,2.335,2.528,3.35,3.368,391.001
2020-07-14,2.347,2.57,3.335,3.328,386.547
2020-07-15,2.373,2.586,3.36,3.36,384.148
2020-07-16,2.383,2.551,3.339,3.319,385.385
2020-07-17,2.391,2.529,3.361,3.379,385.063
2020-07-20,2.379,2.538,3.337,3.424,387.844
2020-07-21,2.386,2.526,3.302,3.413,391.66
2020-07-22,2.405,2.525,3.287,3.479,397.848
2020-07-23,2.409,2.514,3.273,3.506,400.48
2020-07-24,2.427,2.525,3.291,3.53,397.165
2020-07-27,2.471,2.545,3.303,3.592,400.19
2020-07-28,2.436,2.552,3.3,3.541,398.279
2020-07-29,2.431,2.568,3.329,3.555,398.632
2020-07-30,2.441,2.564,3.338,3.567,402.611
2020-07-31,2.496,2.581,3.331,3.584,400.893
2020-08-03,2.472,2.557,3.305,3.543,401.701
2020-08-04,2.469,2.537,3.247,3.539,402.015
2020-08-05,2.484,2.542,3.271,3.504,402.357
2020-08-06,2.505,2.566,3.261,3.481,404.321
2020-08-07,2.468,2.561,3.252,3.485,404.338
2020-08-10,2.456,2.566,3.27,3.433,402.937
2020-08-11,2.458,2.563,3.242,3.438,400.392
2020-08-12,2.433,2.567,3.237,3.44,402.76
2020-08-13,2.416,2.566,3.219,3.416,399.748
2020-08-14,2.462,2.572,3.234,3.405,399.073
2020-08-17,2.465,2.55,3.226,3.395,401.613
2020-08-18,2.479,2.58,3.239,3.38,398.982
2020-08-19,2.479,2.559,3.224,3.402,401.194
2020-08-20,2.497,2.562,3.252,3.414,396.862
2020-08-21,2.483,2.547,3.277,3.437,394.548
2020-08-24,2.493,2.579,3.273,3.445,395.168
2020-08-25,2.56,2.558,3.322,3.376,397.353
2020-08-26,2.553,2.546,3.298,3.378,399.079
2020-08-27,2.593,2.51,3.32,3.406,400.646
2020-08-28,2.572,2.5,3.339,3.416,401.206
2020-08-31,2.615,2.515,3.344,3.38,405.124
2020-09-01,2.609,2.526,3.369,3.424,402.958
2020-09-02,2.622,2.522,3.369,3.426,405.783
2020-09-03,2.625,2.536,3.344,3.458,403.609
2020-09-04,2.655,2.55,3.31,3.442,402.546
2020-09-07,2.66,2.559,3.282,3.485,403.765
2020-09-08,2.638,2.614,3.279,3.53,399.812
2020-09-09,2.596,2.613,3.299,3.558,401.582
2020-09-10,2.621,2.609,3.306,3.527,397.574
2020-09-11,2.587,2.597,3.277,3.524,396.791
2020-09-14,2.566,2.624,3.27,3.546,399.081
2020-09-15,2.552,2.589,3.276,3.533,398.717
2020-09-16,2.536,2.588,3.308,3.536,396.728
2020-09-17,2.532,2.591,3.321,3.503,394.994
2020-09-18,2.538,2.56,3.33,3.517,398.26
2020-09-21,2.523,2.561,3.351,3.508,396.45
2020-09-22,2.551,2.505,3.365,3.5,395.086
2020-09-23,2.557,2.5,3.395,3.504,391.46
2020-09-24,2.576,2.484,3.375,3.54,390.573
2020-09-25,2.57,2.497,3.358,3.519,390.573
2020-09-28,2.571,2.492,3.306,3.51,391.562
2020-09-29,2.563,2.499,3.283,3.488,389.32
2020-09-30,2.533,2.505,3.3,3.466,386.955
2020-10-01,2.508,2.554,3.318,3.497,385.844
2020-10-02,2.492,2.549,3.339,3.481,384.257
2020-10-05,2.499,2.552,3.329,3.527,384.502
2020-10-06,2.501,2.545,3.323,3.542,384.388
2020-10-07,2.494,2.551,3.329,3.569,387.017
2020-10-08,2.511,2.574,3.387,3.621,387.075
2020-10-09,2.5,2.579,3.409,3.634,387.741
2020-10-12,2.481,2.585,3.365,3.626,390.678
2020-10-13,2.488,2.604,3.375,3.58,388.781
2020-10-14,2.51,2.62,3.385,3.588,389.974
2020-10-15,2.517,2.594,3.409,3.566,391.988
2020-10-16,2.506,2.575,3.425,3.548,391.311
2020-10-19,2.504,2.578,3.434,3.523,391.245
2020-10-20,2.547,2.598,3.446,3.567,392.705
2020-10-21,2.518,2.591,3.436,3.552,393.661
2020-10-22,2.523,2.573,3.415,3.55,394.133
2020-10-23,2.478,2.551,3.414,3.532,393.137
2020-10-26,2.464,2.53,3.457,3.577,388.643
2020-10-27,2.462,2.533,3.458,3.599,388.372
2020-10-28,2.47,2.548,3.448,3.605,385.712
2020-10-29,2.472,2.585,3.42,3.634,387.091
2020-10-30,2.486,2.573,3.448,3.666,386.127
2020-11-02,2.442,2.563,3.439,3.638,389.522
2020-11-03,2.441,2.571,3.44,3.641,389.806
2020-11-04,2.462,2.605,3.417,3.62,388.322
2020-11-05,2.457,2.637,3.372,3.584,391.071
2020-11-06,2.435,2.616,3.354,3.573,392.394
2020-11-09,2.4,2.617,3.406,3.593,386.31
2020-11-10,2.372,2.641,3.378,3.62,389.273
2020-11-11,2.374,2.589,3.386,3.646,392.081
2020-11-12,2.356,2.581,3.396,3.602,390.763
2020-11-13,2.342,2.549,3.365,3.586,390.209
2020-11-16,2.357,2.516,3.358,3.635,393.118
2020-11-17,2.323,2.534,3.31,3.626,390.788
2020-11-18,2.338,2.571,3.343,3.619,388.628
2020-11-19,2.344,2.581,3.368,3.651,390.256
2020-11-20,2.337,2.561,3.384,3.626,391.025
2020-11-23,2.302,2.572,3.39,3.618,394.729
2020-11-24,2.294,2.579,3.401,3.621,395.947
2020-11-25,2.303,2.569,3.414,3.558,395.475
2020-11-26,2.268,2.571,3.392,3.527,397.746
2020-11-27,2.264,2.593,3.374,3.56,392.659
2020-11-30,2.261,2.569,3.343,3.604,391.167
2020-12-01,2.212,2.543,3.433,3.601,388.498
2020-12-02,2.192,2.538,3.45,3.589,388.995
2020-12-03,2.199,2.504,3.447,3.596,389.415
2020-12-04,2.192,2.516,3.487,3.621,388.812
2020-12-07,2.218,2.536,3.494,3.645,386.512
2020-12-08,2.242,2.525,3.504,3.639,386.811
2020-12-09,2.217,2.495,3.477,3.647,386.198
2020-12-10,2.186,2.485,3.487,3.621,384.91
2020-12-11,2.2,2.476,3.464,3.617,386.426
2020-12-14,2.202,2.471,3.445,3.618,388.313
2020-12-15,2.216,2.493,3.497,3.655,383.675
2020-12-16,2.226,2.466,3.53,3.649,379.915
2020-12-17,2.229,2.478,3.552,3.668,379.102
2020-12-18,2.213,2.473,3.546,3.672,381.587
